[2025-10-28 15:01:17] [world] The Player <v5se> has picked 3 of CARROT at X= -112, Y= 66, Z= 563 that had [] enchantment(s) | 
[2025-10-28 15:01:17] [world] The Player <v5se> has picked 1 of CARROT at X= -114, Y= 66, Z= 563 that had [] enchantment(s) | 
[2025-10-28 15:01:17] [world] The Player <v5se> has picked 3 of CARROT at X= -115, Y= 66, Z= 563 that had [] enchantment(s) | 
[2025-10-28 15:01:17] [world] The Player <v5se> has picked 1 of CARROT at X= -116, Y= 66, Z= 564 that had [] enchantment(s) | 
[2025-10-28 15:01:17] [world] The Player <v5se> has picked 3 of CARROT at X= -116, Y= 66, Z= 562 that had [] enchantment(s) | 
[2025-10-28 15:01:18] [world] The Player <v5se> has picked 2 of CARROT at X= -116, Y= 66, Z= 563 that had [] enchantment(s) | 
[2025-10-28 15:01:18] [world] The Player <v5se> has picked 1 of CARROT at X= -118, Y= 65, Z= 564 that had [] enchantment(s) | 
[2025-10-28 15:01:18] [world] The Player <v5se> has picked 3 of CARROT at X= -118, Y= 66, Z= 563 that had [] enchantment(s) | 
[2025-10-28 15:01:18] [world] The Player <v5se> has picked 4 of CARROT at X= -119, Y= 65, Z= 564 that had [] enchantment(s) | 
[2025-10-28 15:01:18] [world] The Player <v5se> has picked 1 of POTATO at X= -120, Y= 66, Z= 562 that had [] enchantment(s) | 
[2025-10-28 15:01:18] [world] The Player <v5se> has picked 2 of POTATO at X= -120, Y= 66, Z= 564 that had [] enchantment(s) | 
[2025-10-28 15:01:18] [world] The Player <v5se> has picked 1 of POTATO at X= -121, Y= 65, Z= 564 that had [] enchantment(s) | 
[2025-10-28 15:01:18] [world] The Player <v5se> has picked 3 of POTATO at X= -122, Y= 66, Z= 562 that had [] enchantment(s) | 
[2025-10-28 15:01:19] [world] The Player <v5se> has picked 1 of POTATO at X= -123, Y= 66, Z= 563 that had [] enchantment(s) | 
[2025-10-28 15:01:19] [world] The Player <v5se> has picked 3 of POTATO at X= -121, Y= 66, Z= 562 that had [] enchantment(s) | 
[2025-10-28 15:01:19] [world] The Player <v5se> has picked 1 of POTATO at X= -123, Y= 66, Z= 563 that had [] enchantment(s) | 
[2025-10-28 15:01:19] [world] The Player <v5se> has picked 2 of POTATO at X= -123, Y= 66, Z= 563 that had [] enchantment(s) | 
[2025-10-28 15:01:35] [world] The Player <v5se> has picked 2 of CARROT at X= -113, Y= 65, Z= 564 that had [] enchantment(s) | 
[2025-10-28 15:05:01] [world] The Player <v5se> has picked 1 of OAK_BOAT at X= -92, Y= 62, Z= 495 that had [] enchantment(s) | 
[2025-10-28 15:05:20] [world] The Player <v5se> has picked 1 of OAK_BOAT at X= -264, Y= 64, Z= 491 that had [] enchantment(s) | 
[2025-10-28 15:05:51] [world] The Player <v5se> has picked 9 of ROTTEN_FLESH at X= -266, Y= 180, Z= 483 that had [] enchantment(s) | 
[2025-10-28 15:08:36] [world] The Player <v5se> has picked 1 of OAK_BOAT at X= -94, Y= 63, Z= 495 that had [] enchantment(s) | 
